size	serialMergeSort	serialMergeSortIterative
30000	0.002391	0.001729
40000	0.003264	0.002348
50000	0.004167	0.003012
60000	0.005030	0.003673
70000	0.005942	0.004344
80000	0.006815	0.004980
90000	0.007711	0.005676
100000	0.008653	0.006306
200000	0.018057	0.013405
