size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	serialMergeSort	serialMergeSortIterative	tholderMergeSortIterative
100	0.000470	0.000398	0.000886	0.007423	0.000015	0.000000	0.008261
1000	0.000412	0.000882	0.000864	0.002415	0.000146	0.000000	0.001280
10000	0.000781	0.000481	0.001124	0.002850	0.001520	0.000000	0.010686
100000	0.003707	0.002422	0.003991	0.006779	0.017050	0.000000	0.004812
1000000	0.039792	0.028119	0.034814	0.035853	0.178141	0.000000	0.038214
10000000	0.410380	0.358560	0.324373	0.374723	1.949297	0.000000	0.388012
