size	serialMergeSort	serialMergeSortIterative
30000	0.002375	0.001677
40000	0.003269	0.002361
50000	0.004140	0.003008
60000	0.005047	0.003625
70000	0.005942	0.004317
80000	0.006801	0.004968
90000	0.007694	0.005632
100000	0.008634	0.006297
