size	serialMergeSort	serialMergeSortIterative
2000	0.000137	0.000087
3000	0.000207	0.000134
4000	0.000279	0.000194
5000	0.000366	0.000243
6000	0.000438	0.000289
7000	0.000516	0.000342
8000	0.000598	0.000405
9000	0.000686	0.000469
10000	0.000767	0.000522
15000	0.001178	0.000794
20000	0.001582	0.001078
25000	0.001989	0.001406
30000	0.002396	0.001679
